version,release_date,appplication,no_measurement,timestamp,pid,command,virt,res,shr,percent_cpu,percent_mem,tasks_total,tasks_running,tasks_sleeping,tasks_stopped,tasks_zombie,cpu_us,cpu_sy,cpu_ni,cpu_id,cpu_wa,cpu_hi,cpu_si,cpu_st,mem_total,mem_free,mem_used,mem_buff_cache,swap_total,swap_free,swap_used,swap_avail,Unnamed: 32
g++-4.4,2012-03-13,nbody_2.c 50000000,0,1690224124,328013,nbody_2_g++-4.4,6496.0,1928.0,1756.0,93.8,0.0,316,2,309,5,0,14.5,0.8,0.0,84.7,0.0,0.0,0.0,0.0,15795.0 MiB,5449.2 MiB,2124.5 MiB,8221.2 MiB,4096.0 MiB,4095.0 MiB,1.0 MiB,12643.8 MiB,
g++-4.4,2012-03-13,nbody_2.c 50000000,1,1690224125,328013,nbody_2_g++-4.4,6496.0,1928.0,1756.0,100.0,0.0,316,2,309,5,0,12.6,0.8,0.0,86.6,0.0,0.0,0.0,0.0,15795.0 MiB,5449.0 MiB,2124.4 MiB,8221.6 MiB,4096.0 MiB,4095.0 MiB,1.0 MiB,12643.6 MiB,
g++-4.4,2012-03-13,nbody_2.c 50000000,2,1690224126,328013,nbody_2_g++-4.4,6496.0,1928.0,1756.0,100.0,0.0,316,2,309,5,0,12.6,0.8,0.0,86.6,0.0,0.0,0.0,0.0,15795.0 MiB,5455.6 MiB,2124.8 MiB,8214.6 MiB,4096.0 MiB,4095.0 MiB,1.0 MiB,12650.3 MiB,
g++-4.4,2012-03-13,nbody_2.c 50000000,3,1690224128,328013,nbody_2_g++-4.4,6496.0,1928.0,1756.0,100.0,0.0,316,2,309,5,0,12.7,0.8,0.0,86.5,0.0,0.0,0.0,0.0,15795.0 MiB,5455.6 MiB,2124.8 MiB,8214.6 MiB,4096.0 MiB,4095.0 MiB,1.0 MiB,12650.3 MiB,
g++-4.4,2012-03-13,nbody_2.c 50000000,4,1690224129,328013,nbody_2_g++-4.4,6496.0,1928.0,1756.0,93.8,0.0,316,2,309,5,0,14.0,1.6,0.0,84.5,0.0,0.0,0.0,0.0,15795.0 MiB,5454.9 MiB,2125.5 MiB,8214.6 MiB,4096.0 MiB,4095.0 MiB,1.0 MiB,12649.5 MiB,
g++-4.4,2012-03-13,nbody_2.c 50000000,5,1690224130,328013,nbody_2_g++-4.4,6496.0,1928.0,1756.0,100.0,0.0,316,2,309,5,0,13.3,0.0,0.0,86.7,0.0,0.0,0.0,0.0,15795.0 MiB,5454.9 MiB,2125.5 MiB,8214.6 MiB,4096.0 MiB,4095.0 MiB,1.0 MiB,12649.5 MiB,
g++-4.4,2012-03-13,nbody_2.c 50000000,6,1690224131,328013,nbody_2_g++-4.4,6496.0,1928.0,1756.0,100.0,0.0,316,2,309,5,0,12.6,0.8,0.0,86.6,0.0,0.0,0.0,0.0,15795.0 MiB,5453.9 MiB,2126.5 MiB,8214.6 MiB,4096.0 MiB,4095.0 MiB,1.0 MiB,12648.5 MiB,
g++-4.4,2012-03-13,nbody_2.c 50000000,7,1690224132,328013,nbody_2_g++-4.4,6496.0,1928.0,1756.0,93.8,0.0,316,2,309,5,0,13.6,0.8,0.0,85.6,0.0,0.0,0.0,0.0,15795.0 MiB,5454.4 MiB,2126.0 MiB,8214.6 MiB,4096.0 MiB,4095.0 MiB,1.0 MiB,12649.0 MiB,
g++-4.4,2012-03-13,nbody_2.c 50000000,8,1690224133,328013,nbody_2_g++-4.4,6496.0,1928.0,1756.0,100.0,0.0,316,2,309,5,0,12.6,0.8,0.0,86.6,0.0,0.0,0.0,0.0,15795.0 MiB,5454.1 MiB,2126.2 MiB,8214.6 MiB,4096.0 MiB,4095.0 MiB,1.0 MiB,12648.8 MiB,
g++-4.4,2012-03-13,nbody_2.c 50000000,9,1690224135,328013,nbody_2_g++-4.4,6496.0,1928.0,1756.0,100.0,0.0,316,2,309,5,0,12.6,0.8,0.0,86.6,0.0,0.0,0.0,0.0,15795.0 MiB,5453.6 MiB,2126.7 MiB,8214.6 MiB,4096.0 MiB,4095.0 MiB,1.0 MiB,12648.3 MiB,
