test,version,appplication,time_elapsed,CPU_Utilization,CPI,Retiring,Frontend_Bound,Bad_Speculation,Backend_Bound,ILP,IPC,Kernel_Utilization,L1D_Cache_Fill_BW,Turbo_Utilization,time_elapsed,cycles,freq_cycles,instructions,insn_per_cycle,cpu_clock,no_cpus,cpu_cycles,freq_cpu_cycles,cpu_migrations,ref_cycles,bus_cycles,task_clock,no_cpus_task_clock,cpu_thermal_margin,branches,branch_misses,percent_branch_misses,mem_loads,mem_stores,page_faults,minor_faults,major_faults,cache_references,cache_misses,percent_cache_misses,L1_dcache_loads,L1_dcache_load_misses,percent_L1_dcache_load_misses,LLC_loads,LLC_load_misses,percent_LLC_load_misses,L1_icache_load_misses,dTLB_loads,dTLB_load_misses,percent_dTLB_load_misses,iTLB_loads,iTLB_load_misses,percent_iTLB_load_misses,block_rq_issue,block_rq_complete
1,v1.8.4,binaryTrees_7_original.js 21,48564232,0.96,0.93,0.30,0.41,0.15,0.08,5.68,1.31,0.08,3.24,2.16,48564232 ns,193048611,3.992 GHz,237651994,1.26,48.36 msec,0.996,192649453,3.983 GHz,2,89004355,1126627,48.37 msec,0.996,294 C,36088793,1638089,4.54%,0,<not,2539,2539,0,<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,<not,(0.00%),<not,<not,(0.00%),0,0
2,v1.8.4,binaryTrees_7_original.js 21,49425746,0.97,0.90,0.31,0.43,0.14,0.09,4.83,1.17,0.08,3.23,2.16,49425746 ns,197774805,4.014 GHz,241969434,1.24,49.27 msec,0.997,196970014,3.997 GHz,3,90760913,1148872,49.28 msec,0.997,304 C,37754610,1443538,3.82%,42,<not,2540,2540,0,<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,<not,(0.00%),<not,<not,(0.00%),0,0
3,v1.8.4,binaryTrees_7_original.js 21,48136771,0.92,0.90,0.31,0.43,0.14,0.08,5.60,1.31,0.08,3.37,2.16,48136771 ns,192559730,4.012 GHz,232705723,1.22,47.99 msec,0.997,192237694,4.005 GHz,2,88969975,1126202,48.00 msec,0.997,287 C,36449228,1365206,3.75%,0,<not,2540,2540,0,<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,<not,(0.00%),<not,<not,(0.00%),0,0
4,v1.8.4,binaryTrees_7_original.js 21,48190437,0.95,0.90,0.31,0.43,0.14,0.08,5.62,1.31,0.08,3.31,2.16,48190437 ns,194361871,4.040 GHz,233876385,1.22,48.10 msec,0.998,194035203,4.033 GHz,3,89820430,1136977,48.11 msec,0.998,305 C,36962961,1411484,3.82%,0,<not,2538,2538,0,<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,<not,(0.00%),<not,<not,(0.00%),0,0
5,v1.8.4,binaryTrees_7_original.js 21,48204028,0.93,0.88,0.31,0.42,0.14,0.08,5.63,1.32,0.07,3.29,2.16,48204028 ns,189650895,3.949 GHz,227763106,1.21,48.02 msec,0.996,188714991,3.930 GHz,2,86586280,1096028,48.03 msec,0.996,289 C,34856638,1577585,4.53%,0,<not,2540,2540,0,<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,<not,(0.00%),<not,<not,(0.00%),0,0
6,v1.8.4,binaryTrees_7_original.js 21,53439680,0.96,0.97,0.29,0.40,0.13,0.10,5.41,1.30,0.08,2.98,2.00,53439680 ns,195958629,3.687 GHz,237295018,1.20,53.15 msec,0.995,197981802,3.725 GHz,1,97261046,1231152,53.16 msec,0.995,281 C,40317056,1701618,4.22%,42,<not,2540,2540,0,<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,<not,(0.00%),<not,<not,(0.00%),0,0
7,v1.8.4,binaryTrees_7_original.js 21,48731292,0.97,0.94,0.30,0.42,0.14,0.08,5.68,1.29,0.08,3.21,2.15,48731292 ns,195455418,4.022 GHz,237819081,1.23,48.59 msec,0.997,194684309,4.006 GHz,1,89852718,1137367,48.60 msec,0.997,288 C,36646324,1406346,3.84%,0,<not,2539,2539,0,<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,<not,(0.00%),<not,<not,(0.00%),0,0
8,v1.8.4,binaryTrees_7_original.js 21,49501095,0.96,0.93,0.30,0.41,0.15,0.08,5.69,1.30,0.08,3.16,2.15,49501095 ns,193945605,3.935 GHz,235777333,1.25,49.29 msec,0.996,193184841,3.919 GHz,2,89114954,1128027,49.30 msec,0.996,291 C,36184506,1577168,4.36%,0,<not,2540,2540,0,<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,<not,(0.00%),<not,<not,(0.00%),0,0
9,v1.8.4,binaryTrees_7_original.js 21,50781068,0.96,0.97,0.30,0.41,0.14,0.22,5.68,1.31,0.08,3.09,2.15,50781068 ns,196666436,3.891 GHz,237933264,1.24,50.54 msec,0.995,199150180,3.940 GHz,3,92192179,1166997,50.55 msec,0.995,288 C,38264799,1686320,4.41%,55,<not,2540,2540,0,<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,<not,(0.00%),<not,<not,(0.00%),0,0
10,v1.8.4,binaryTrees_7_original.js 21,49017325,0.95,0.92,0.31,0.43,0.14,0.08,5.66,1.27,0.08,3.14,2.15,49017325 ns,196570694,4.027 GHz,240053174,1.24,48.81 msec,0.996,195478616,4.004 GHz,4,90215294,1141982,48.82 msec,0.996,272 C,36948679,1405728,3.80%,0,<not,2540,2540,0,<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,<not,(0.00%),<not,<not,(0.00%),0,0
