test,release_date,path,version,appplication,CPU_Utilization,CPI,Retiring,Frontend_Bound,Bad_Speculation,Backend_Bound,ILP,IPC_perf,Kernel_Utilization,L1D_Cache_Fill_BW,Turbo_Utilization,time_elapsed_sec,cycles,freq_cycles_GHz,instructions,insn_per_cycle,cpu_clock_msec,no_cpus,cpu_cycles,freq_cpu_cycles_GHz,cpu_migrations,ref_cycles,bus_cycles,task_clock_msec,no_cpus_task_clock,cpu_thermal_margin_C,branches,branch_misses,percent_branch_misses,mem_loads,mem_stores,page_faults,minor_faults,major_faults,cache_references,cache_misses,percent_cache_misses,L1_dcache_loads,L1_dcache_load_misses,percent_L1_dcache_load_misses,LLC_loads,LLC_load_misses,percent_LLC_load_misses,L1_icache_load_misses,dTLB_loads,dTLB_load_misses,percent_dTLB_load_misses,iTLB_loads,iTLB_load_misses,percent_iTLB_load_misses,block_rq_issue,block_rq_complete,TotalSlots_Giga,FetchBubbles_Giga,SlotsRetired_Giga,SlotsIssued+RecoveryBubbles_Giga,SlotsBackend_Giga
1,2018-10-26,nbody_50000000_original_O3flag,g++-6,nbody_2_original.c 50000000,1.0,0.28,0.88,0.0,0.0,0.12,7.27,3.52,0.0,0.0,2.16,3.519429986,14331033915,4.073,50369128160,3.51,3518.21,1.0,14338787652,4.076,1,6646910428,84157197,3518.22,1.0,15.0,2051339870,33899,0.00%,0,5503700705,142,142,0,367459,56479,15.37,10713166462,178417,0.00%,23515,4846,20.61%,467323,10710320526,31,0.00%,2662,7626,286.48%,0,0,16.292,0.0,14.336960000000001,0.0,1.9550400000000001
2,2018-10-26,nbody_50000000_original_O3flag,g++-6,nbody_2_original.c 50000000,1.0,0.29,0.86,0.01,0.0,0.13,7.26,3.51,0.0,0.0,2.16,3.548222187,14467404725,4.078,50738161210,3.51,3547.61,1.0,14442295928,4.071,0,6696309191,84804174,3547.61,1.0,20.0,2063079739,23502,0.00%,0,5537937264,144,144,0,549513,178239,32.436,10609392242,175307,0.00%,26286,1813,6.90%,430462,10575188728,118,0.00%,2692,4061,150.85%,0,0,16.312,0.16312000000000001,14.02832,0.0,2.1205600000000002
3,2018-10-26,nbody_50000000_original_O3flag,g++-6,nbody_2_original.c 50000000,1.0,0.28,0.87,0.0,0.0,0.12,7.27,3.51,0.0,0.0,2.16,3.526448069,14324265714,4.063,50331520311,3.51,3525.89,1.0,14344951845,4.068,1,6652959141,84236869,3525.89,1.0,17.0,2051642982,25836,0.00%,0,5504871366,140,140,0,241927,38412,15.878,10728381043,146680,0.00%,11302,401,3.55%,372324,10700372093,0,0.00%,3990,6052,151.68%,0,0,16.252,0.0,14.13924,0.0,1.9502399999999998
4,2018-10-26,nbody_50000000_original_O3flag,g++-6,nbody_2_original.c 50000000,1.0,0.29,0.87,0.0,0.0,0.13,7.19,3.49,0.0,0.0,2.16,3.549185049,14440678207,4.07,50316428853,3.48,3548.17,1.0,14440068347,4.07,0,6699876902,84819257,3548.18,1.0,6.0,2049398253,32254,0.00%,0,5502476308,145,145,0,686242,185601,27.046,10713521756,170596,0.00%,17797,1671,9.39%,446868,10706488161,55,0.00%,2685,6867,255.75%,0,0,16.28,0.0,14.1636,0.0,2.1164
5,2018-10-26,nbody_50000000_original_O3flag,g++-6,nbody_2_original.c 50000000,1.0,0.29,0.87,0.0,0.0,0.13,7.25,3.51,0.0,0.0,2.16,3.53338334,14424652820,4.083,50651448245,3.52,3532.82,1.0,14425163562,4.083,1,6687352388,84654672,3532.83,1.0,13.0,2062651287,25878,0.00%,0,5531519544,142,142,0,279231,26553,9.509,10608719278,166285,0.00%,24446,709,2.90%,449193,10739448151,236,0.00%,2870,4290,149.48%,0,0,16.332,0.0,14.20884,0.0,2.1231600000000004
6,2018-10-26,nbody_50000000_original_O3flag,g++-6,nbody_2_original.c 50000000,1.0,0.29,0.87,0.0,0.0,0.13,7.21,3.5,0.0,0.0,2.15,3.529517535,14364536588,4.071,50337208817,3.5,3528.91,1.0,14383644249,4.076,1,6671227116,84451510,3528.92,1.0,11.0,2053162956,26445,0.00%,0,5513028956,145,145,0,171895,24932,14.504,10720937719,137614,0.00%,12588,1055,8.38%,378943,10716381943,110,0.00%,1803,3025,167.78%,0,0,16.284,0.0,14.167079999999999,0.0,2.11692
7,2018-10-26,nbody_50000000_original_O3flag,g++-6,nbody_2_original.c 50000000,1.0,0.28,0.87,0.0,0.0,0.12,7.27,3.51,0.0,0.0,2.16,3.520394871,14344158137,4.075,50378002983,3.51,3519.86,1.0,14340527087,4.074,3,6648286053,84163552,3519.87,1.0,10.0,2051277029,24538,0.00%,0,5509302630,145,145,0,111084,19281,17.357,10718054379,123542,0.00%,12673,1815,14.32%,358751,10712133019,47,0.00%,2215,3465,156.43%,0,0,16.3,0.0,14.181000000000001,0.0,1.956
8,2018-10-26,nbody_50000000_original_O3flag,g++-6,nbody_2_original.c 50000000,1.0,0.29,0.86,0.0,0.0,0.12,7.27,3.51,0.0,0.0,2.16,3.551605747,14460507917,4.072,50608364372,3.5,3551.0,1.0,14458402999,4.072,1,6703855376,84877492,3551.0,1.0,9.0,2052002547,25969,0.00%,0,5448875192,141,141,0,559049,166642,29.808,10661013357,212353,0.00%,22424,1538,6.86%,391115,10785756359,15,0.00%,2924,4430,151.50%,0,0,16.288,0.0,14.00768,0.0,1.9545599999999999
9,2018-10-26,nbody_50000000_original_O3flag,g++-6,nbody_2_original.c 50000000,1.0,0.29,0.87,0.0,0.0,0.12,7.27,3.51,0.0,0.0,2.16,3.539952461,14448775702,4.082,50797794582,3.52,3539.31,1.0,14448219350,4.082,1,6696856932,84751229,3539.31,1.0,8.0,2063205913,26774,0.00%,0,5510548112,138,138,0,561202,38889,6.93,10615772350,172903,0.00%,26356,2077,7.88%,413905,10711604514,371,0.00%,2774,4708,169.72%,0,0,16.328,0.0,14.205359999999999,0.0,1.9593599999999998
10,2018-10-26,nbody_50000000_original_O3flag,g++-6,nbody_2_original.c 50000000,0.99,0.29,0.87,0.0,0.0,0.13,7.26,3.51,0.0,0.01,2.11,3.633929293,14380798440,3.959,50429829669,3.51,3632.88,1.0,14379413241,3.958,3,6818201554,86365464,3632.89,1.0,2.0,2045957879,45952,0.00%,0,5515890847,142,142,0,483110,33898,7.017,10719043307,195099,0.00%,30665,2106,6.87%,535040,10720310793,1213,0.00%,10376,7463,71.93%,0,0,15.836,0.0,13.77732,0.0,2.0586800000000003
