version,appplication,CPU_Utilization,CPI,Retiring,Frontend_Bound,Bad_Speculation,Backend_Bound,ILP,IPC,Kernel_Utilization,L1D_Cache_Fill_BW,Turbo_Utilization,time_elapsed,cycles,freq_cycles,instructions,insn_per_cycle,cpu_clock,no_cpus,cpu_cycles,freq_cpu_cycles,cpu_migrations,ref_cycles,bus_cycles,task_clock,no_cpus_task_clock,cpu_thermal_margin,branches,branch_misses,percent_branch_misses,mem_loads,mem_stores,page_faults,minor_faults,major_faults,cache_references,cache_misses,percent_cache_misses,L1_dcache_loads,L1_dcache_load_misses,percent_L1_dcache_load_misses,LLC_loads,LLC_load_misses,percent_LLC_load_misses,L1_icache_load_misses,dTLB_loads,dTLB_load_misses,percent_dTLB_load_misses,iTLB_loads,iTLB_load_misses,percent_iTLB_load_misses,block_rq_issue,block_rq_complete
v6.17.1,binaryTrees_7_original.js 21,0.99,0.49,0.52,0.17,0.03,0.27,6.48,2.03,0.26,4.24,1.99,22247645856 ns,89528612026,3.701 GHz,180423025240,2.01,24187.53 msec,1.087,89469306032,3.699 GHz,42,44958536512,569720205,24189.91 msec,1.087,187 C,32061731394,82244852,0.26%,26,31175423636,5930184,5930184,0,2609600978,1568991083,60.124,42584433956,1508258586,3.54%,188001846,65059825,34.61%,150233200,43156771391,17243922,0.04%,325992,8704102,2670.04%,0,5
v7.10.1,binaryTrees_7_original.js 21,0.99,0.52,0.5,0.18,0.04,0.28,6.2,1.93,0.26,4.54,2.13,21094463905 ns,97893811996,3.989 GHz,186638319914,1.91,24536.04 msec,1.163,98138566331,3.999 GHz,14,46037932504,580431474,24541.13 msec,1.163,157 C,32967828892,106695455,0.32%,132,32236651194,6031499,6031499,0,2621329440,1574894600,60.08,46191642422,1497544892,3.24%,160405447,56157911,35.01%,186990226,45944374053,14960478,0.03%,209519,10673744,5094.40%,0,0
v8.17.0,binaryTrees_7_original.js 21,0.99,0.53,0.51,0.21,0.03,0.26,6.3,1.85,0.28,3.6,2.14,19527412465 ns,83810951496,3.983 GHz,159057416785,1.89,21039.44 msec,1.077,83919002986,3.988 GHz,18,39250006506,497358920,21044.71 msec,1.078,157 C,30473073529,48855875,0.16%,0,25879420591,6074479,6074479,0,1630997223,900915084,55.237,42274965374,1109958159,2.63%,148507282,53767653,36.21%,172268720,42345792323,9510292,0.02%,101971,9334413,9153.99%,0,0
v9.11.2,binaryTrees_7_original.js 21,0.99,0.53,0.5,0.21,0.03,0.28,6.13,1.88,0.29,3.58,2.14,19582923133 ns,85093257811,3.993 GHz,158313370350,1.86,21307.55 msec,1.088,85085323371,3.993 GHz,24,39625741481,502504450,21313.38 msec,1.088,161 C,30138029829,48587693,0.16%,8,26059412481,6074188,6074188,0,1609559401,908709585,56.457,42853908540,1098821435,2.56%,137964599,48081548,34.85%,173926176,42781624879,9516228,0.02%,197052,8712102,4421.22%,0,0
v10.24.1,binaryTrees_7_original.js 21,0.99,0.6,0.45,0.12,0.02,0.41,5.03,1.66,0.12,7.87,2.02,20376489459 ns,218479571484,3.803 GHz,364821402398,1.67,57440.91 msec,2.819,218603310789,3.805 GHz,39,108154196222,1369398558,57448.74 msec,2.819,122 C,64574250981,123246412,0.19%,0,45822166517,5938307,5938307,0,5392293126,2022741679,37.512,87190750328,2511384388,2.88%,436698335,129567930,29.67%,220194981,87040849224,34222843,0.04%,752942,8624251,1145.41%,0,0
v11.15.0,binaryTrees_7_original.js 21,0.99,0.58,0.46,0.12,0.02,0.4,5.22,1.74,0.12,7.39,2.03,19801066383 ns,206085050525,3.813 GHz,355564354056,1.73,54048.00 msec,2.73,206235393718,3.816 GHz,47,101739020694,1288691912,54055.97 msec,2.73,132 C,60348155339,112496048,0.19%,13,47429280002,5943111,5943110,1,4805682341,1915705618,39.863,87266953877,2328710672,2.67%,392119114,118579522,30.24%,191583901,86869691694,31269527,0.04%,463791,7320344,1578.37%,0,0
v12.22.12,binaryTrees_7_original.js 21,0.99,0.56,0.48,0.15,0.03,0.33,6.11,1.81,0.26,5.17,2.09,17027410563 ns,101400169195,3.906 GHz,182706868430,1.79,25955.94 msec,1.524,101738223711,3.919 GHz,59,48437883112,610281080,25967.92 msec,1.525,196 C,32713595243,59750611,0.18%,52,29306035598,5997628,5997628,0,2378194531,1136603528,47.793,48386759813,1387408570,2.87%,202404207,62306048,30.78%,281042818,48360390892,15379174,0.03%,553004,7712176,1394.60%,0,0
v13.14.0,binaryTrees_7_original.js 21,0.99,0.58,0.47,0.12,0.03,0.37,5.92,1.73,0.22,5.73,2.07,16160338570 ns,110307580452,3.877 GHz,188590112889,1.71,28444.15 msec,1.76,110244256182,3.875 GHz,31,53338596434,675331145,28455.24 msec,1.761,153 C,33952042150,59732344,0.18%,65,30490998237,5993439,5993439,0,2562174372,1118211162,43.643,50318481700,1421552989,2.83%,227504532,67030115,29.46%,314127193,50775985863,17758239,0.03%,498810,10230742,2051.03%,0,0
v14.21.3,binaryTrees_7_original.js 21,0.99,0.52,0.51,0.13,0.03,0.34,6.3,1.91,0.24,3.6,2.13,23727837162 ns,109404117367,3.974 GHz,208471395293,1.9,27522.62 msec,1.16,108931823548,3.957 GHz,30,51070693659,646310071,27534.41 msec,1.16,183 C,38221816398,72547144,0.19%,52,34510553015,5974802,5974802,0,2070281027,1170504731,56.538,56249714977,1339822780,2.38%,185829828,70763080,38.08%,289264888,55683229956,14817918,0.03%,324203,8363905,2579.84%,0,0
v15.14.0,binaryTrees_7_original.js 21,0.99,0.54,0.49,0.16,0.03,0.33,6.16,1.82,0.24,3.43,2.13,24887846338 ns,113038596598,3.999 GHz,209231688838,1.86,28260.37 msec,1.136,112983578633,3.997 GHz,35,53002925993,667302203,28272.46 msec,1.136,176 C,39067815270,65262813,0.17%,17,34456812281,6081494,6081494,0,2104360076,1181543090,56.147,53597527422,1345123943,2.51%,182650306,70963477,38.85%,282866717,54094208189,14776009,0.03%,418926,8847327,2111.91%,0,0
