,time_elapsed_sec
Retiring,0.806534100080977
ILP,0.802095734989041
IPC_perf,0.7897553956528118
insn_per_cycle,0.7857595259858009
SlotsIssued+RecoveryBubbles,-0.7004477615403322
CPI,-0.7259114853592084
Frontend_Bound,-0.7322488927439307
branches,-0.7348334559930019
mem_stores,-0.7457510000921612
Backend_Bound,-0.753299784301171
iTLB_load_misses,-0.785127271242292
LLC_load_misses,-0.7912079773759855
percent_cache_misses,-0.8075822401789845
LLC_loads,-0.8190177147744561
cache_references,-0.8284750708848403
no_cpus_task_clock,-0.8312570045381079
no_cpus,-0.8312611658832579
Kernel_Utilization,-0.842655276406597
L1_dcache_load_misses,-0.8446212037327159
cache_misses,-0.8474769966081901
dTLB_load_misses,-0.8530030318386972
page_faults,-0.8636706877953412
minor_faults,-0.8637045057456182
L1D_Cache_Fill_BW,-0.9555920677055945
