,time_elapsed_sec
Retiring,0.9589814190543725
IPC_perf,0.951128198709432
insn_per_cycle,0.9501499428549284
CPU_Utilization,0.9403375355964919
ILP,0.9343177013240457
freq_cycles_GHz,0.9147117124102877
freq_cpu_cycles_GHz,0.9074586305075204
Turbo_Utilization,0.8379066170925213
iTLB_loads,-0.7618198492585776
cpu_migrations,-0.7773623875134738
cycles,-0.7792344982043345
cpu_cycles,-0.782888439935893
bus_cycles,-0.7864042668806904
ref_cycles,-0.7887736874241074
cpu_clock_msec,-0.8108771205418057
task_clock_msec,-0.8108880165110605
Frontend_Bound,-0.8360020513134723
branches,-0.8588173553338696
mem_stores,-0.8760991122998415
L1_icache_load_misses,-0.8841589719466214
iTLB_load_misses,-0.8905555806112889
LLC_load_misses,-0.915996531394963
percent_cache_misses,-0.9210961824801509
CPI,-0.9229917518833692
Kernel_Utilization,-0.9338110512065266
Backend_Bound,-0.9429875291596859
LLC_loads,-0.9476377819660349
cache_references,-0.9589192623229271
no_cpus,-0.9590955747650123
no_cpus_task_clock,-0.9590993193783862
cache_misses,-0.9649216716238267
dTLB_load_misses,-0.9662066063100858
L1_dcache_load_misses,-0.9663498225238601
page_faults,-0.9667146281458183
minor_faults,-0.9667419356017534
L1D_Cache_Fill_BW,-0.9903358008285
