,time_elapsed,Pkg_J,Cor_J,RAM_J,GFX_J
CPU%c7,0.9143312021506625,,,,-0.7187912663850157
GFX%rc6,0.9136450520984859,,,,-0.7831688952559371
C10%,0.8953310230093405,,,,-0.7480666706769689
IPC,0.8250539277699046,,,,
Busy%,-0.9045946999913542,,,,0.7281917740504537
Avg_MHz,-0.9052464343896433,,,,0.7159714279724363
Totl%C0,-0.9110780075907834,,,,0.7192782072869016
CPUGFX%,-0.9241547710623085,,,,0.7758644809327953
GFX%C0,-0.928125105153919,,,,0.7675990489272594
Cor_J,,0.9899370263236451,,0.7445666453662537,
RAM_J,,0.7259556047093496,0.7445666453662537,,
IRQ,,0.7128821228400798,0.7175653789156468,,
Pkg_J,,,0.9899370263236451,0.7259556047093496,
C8%,,,,0.8256854376009349,
CPU%c6,,,,0.7038676958187077,
