,time_elapsed,Pkg_J,Cor_J,RAM_J,GFX_J
time_elapsed_sec,0.9999387929494876,,,-0.9345084435138942,-0.8845531807203673
GFX%rc6,0.9900680243436963,,-0.7409630110896988,-0.9637876153399705,-0.9242267086229552
CPU_Utilization,0.97499908835344,-0.7498715453391593,-0.8235615826787495,-0.981256494447059,-0.955946647096406
C10%,0.9699964424663338,-0.7633190033080537,-0.835101465842454,-0.9832781534473864,-0.9599024349772041
CPU%c7,0.9697232172543834,-0.763968523629285,-0.8355782203868709,-0.9831046599057032,-0.9591113349658017
freq_cycles_GHz,0.9619320027135996,-0.7570955755812784,-0.8273864786370949,-0.9764424280875488,-0.9525448401412183
Retiring,0.9615722698956469,-0.7622997127291246,-0.8328279155924208,-0.9755598342763171,-0.9496702148147994
freq_cpu_cycles_GHz,0.9594919622195212,-0.7556359140064193,-0.8266370610655975,-0.9722411432068101,-0.9515390035206938
IPC,0.9581953871350164,-0.765494463429614,-0.8357978868657959,-0.9732497816885891,-0.948058482945032
IPC_perf,0.9532906714742098,-0.7758058204574751,-0.8436793808763549,-0.9753071305555802,-0.95101914162312
insn_per_cycle,0.951363920174804,-0.7821430838308582,-0.8489909758237427,-0.9774068366458372,-0.9533682012187125
ILP,0.9402250404776402,-0.8172733579693596,-0.8793287019702664,-0.9861181692498792,-0.9785126662947177
Turbo_Utilization,0.9081213936096578,-0.8189320201051233,-0.8759875407966681,-0.9651011080432682,-0.9554778779665909
Any%C0,0.7735060671533162,,,-0.7276035778042469,-0.7621262744432289
time,-0.7604667159938003,0.9454678780384997,0.9731397550074659,0.9045795140039053,0.9355992606630824
cycles,-0.7843365980561411,0.9437307076478268,0.9748174410800711,0.9220239413987734,0.9482029452700884
cpu_cycles,-0.7879475183117823,0.9429631381961183,0.9745144462173361,0.9244068533568249,0.9496250209623591
bus_cycles,-0.7920505510192433,0.9420423893029998,0.9740999264326851,0.9274953058842438,0.9539012922902903
ref_cycles,-0.7961298312293796,0.9406125956082597,0.9733909185690716,0.9297568309141723,0.9546591579022611
cpu_migrations,-0.8006381928185474,0.9235470705606081,0.9557406759415571,0.9337534259844393,0.9395364858596379
cpu_clock_msec,-0.8115542847901711,0.9338603553877524,0.9694055788591486,0.9377882415303134,0.9605187097372722
task_clock_msec,-0.8115632956469426,0.9338570872716483,0.9694037418389031,0.9377934470451548,0.9605216536957003
branches,-0.8614350770861463,0.8831821035475103,0.9263568131608798,0.9640792109804666,0.963052903760274
Frontend_Bound,-0.8775085431202649,0.8166211033932586,0.8727503771669332,0.936897885540896,0.9515674034875323
mem_stores,-0.8794697107424893,0.8662456941744741,0.9164814011710843,0.9613293137355421,0.9669168469255092
GFX_J,-0.8857860762990294,0.8519746682224135,0.9036756017114799,0.9614974921930529,
C1%,-0.886159705960757,,,0.7794270520288502,0.7194674816124734
iTLB_loads,-0.9181044637134099,,,0.8647543068933733,0.7971075507346618
LLC_load_misses,-0.9231919924080981,0.8391858908732839,0.898681860590442,0.9760374502787482,0.9640331450182421
CPI,-0.9265546582330746,0.7854627751929151,0.849900423167071,0.9581942201768556,0.939939132772196
L1_icache_load_misses,-0.9285659641365727,,0.7206985142962733,0.903360901820913,0.8518247324946485
C9%,-0.9304756994065075,0.7340290224710804,0.8023897047966517,0.9492708188672188,0.9424780030180678
percent_cpu,-0.9319263542440251,0.7985829941371979,0.8620592405161943,0.9710298285908082,0.9583681912026203
C3%,-0.9330864435795482,,0.7125306920493923,0.9142242662432031,0.8588418716884344
RAM_J,-0.9360833561253549,0.8239974802035436,0.8781434019728392,,0.9614974921930529
PkgTmp,-0.9428712555620403,0.7932680440441005,0.8543443553832412,0.9849604756523594,0.9683362746538314
CPU%c6,-0.9442457459118516,,0.7146177143688606,0.9240952260850451,0.8838157070167086
CoreTmp,-0.9451187830609911,0.7738500724892117,0.8375553857654242,0.9765396044609218,0.9553958901480203
C6%,-0.9504326357833072,0.7016631843303979,0.7723185686174546,0.954797325987193,0.9084048953180235
Backend_Bound,-0.9523544326516733,0.7609387486540135,0.8297669183526267,0.969567218903372,0.9403966353852677
LLC_loads,-0.952836587665668,0.7831352548917475,0.8512586913129915,0.9758187510231089,0.9496677788791325
C1E%,-0.953700569742024,,,0.8829490080226098,0.8059981820791984
iTLB_load_misses,-0.9568955383641787,,,0.869682959812826,0.8125765666665682
no_cpus,-0.9603524894006041,0.7858219130080845,0.8544634046592131,0.9847025571353102,0.9659511319444541
no_cpus_task_clock,-0.9603617415907484,0.7858080765361048,0.8544525227087637,0.9847029733297251,0.9659508515682261
Busy%,-0.9607522007215217,0.7849566373202396,0.8537417140451964,0.9847113516375235,0.965892343404603
cache_references,-0.962866422345098,0.7786539127753334,0.8476823186859129,0.985515237848788,0.9625501645238792
percent_cache_misses,-0.9657710487057112,0.7216832293756577,0.800345487271896,0.9538207456983098,0.9458511988324936
Avg_MHz,-0.9664105168246444,0.770400764920273,0.8413491897682245,0.9821504900260614,0.9596260039449783
cache_misses,-0.9669604370671808,0.7716178051964214,0.8423884542442183,0.9838795344847483,0.9620592204339452
Totl%C0,-0.9672894000435959,0.7690035483640502,0.839982378501856,0.9829291818878063,0.9603112666469793
L1_dcache_load_misses,-0.9688784943887112,0.7641542487215122,0.8357659296794533,0.9826086577148724,0.9605395192856165
page_faults,-0.9694925741571794,,0.7336575691867033,0.9383208183300996,0.8972133829595123
minor_faults,-0.9695222218927059,,0.7336009741474865,0.9383177883725311,0.8972045639244336
dTLB_load_misses,-0.9700407407885356,,0.7633283550310612,0.952953483628698,0.9182296674425029
Kernel_Utilization,-0.9702556285543592,,0.7033703239778935,0.9267731387324754,0.8671455617960763
DATA,-0.980099728467049,,0.7285717473468672,0.9447953052603277,0.8908890702979978
percent_mem,-0.9808266683635124,,0.7251523166514642,0.9425864349286978,0.8964722468612385
res,-0.9818432714881118,,0.7226757630081647,0.9420125237907502,0.8965298995509129
C8%,-0.9851473573613225,,,0.9150636248957269,0.8626374574885318
L1D_Cache_Fill_BW,-0.9911379446288454,,0.7645294063188656,0.9674443697049666,0.9268332204529742
GFX%C0,-0.991649575426164,,0.7318226557363723,0.9551850977604431,0.9228381706862577
CPUGFX%,-0.9930666467290317,,0.7435511695752104,0.9610537536911697,0.9207736042102482
Cor_J,,0.9918641143674317,,0.8781434019728392,0.9036756017114799
branch_misses,,0.9790273211392804,0.9825559326985095,0.8485429813011487,0.8751678692828738
instructions,,0.8959801879027631,0.8954389134914761,0.7263480028905791,0.7969007410995479
IRQ,,0.8850091291509737,0.8541534925810593,,
L1_dcache_loads,,0.7809732663500435,0.775320787491907,,
dTLB_loads,,0.7750994040115468,0.7640725306931175,,
Pkg_J,,,0.9918641143674317,0.8239974802035436,0.8519746682224135
