test,version,appplication,time_elapsed,CPU_Utilization,CPI,Retiring,Frontend_Bound,Bad_Speculation,Backend_Bound,ILP,IPC,Kernel_Utilization,L1D_Cache_Fill_BW,Turbo_Utilization,time_elapsed,cycles,freq_cycles,instructions,insn_per_cycle,cpu_clock,no_cpus,cpu_cycles,freq_cpu_cycles,cpu_migrations,ref_cycles,bus_cycles,task_clock,no_cpus_task_clock,cpu_thermal_margin,branches,branch_misses,percent_branch_misses,mem_loads,mem_stores,page_faults,minor_faults,major_faults,cache_references,cache_misses,percent_cache_misses,L1_dcache_loads,L1_dcache_load_misses,percent_L1_dcache_load_misses,LLC_loads,LLC_load_misses,percent_LLC_load_misses,L1_icache_load_misses,dTLB_loads,dTLB_load_misses,percent_dTLB_load_misses,iTLB_loads,iTLB_load_misses,percent_iTLB_load_misses,block_rq_issue,block_rq_complete
1,v3.3.1,binaryTrees_1_original.js 21,48498710,0.93,0.93,0.31,0.38,0.14,0.09,5.65,1.23,0.06,2.80,2.07,48498710 ns,183734707,3.809 GHz,213254901,1.15,48.24 msec,0.995,185117498,3.838 GHz,1,86854648,1099425,48.24 msec,0.995,255 C,35321284,1591101,4.50%,0,<not,2330,2330,0,<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,<not,(0.00%),<not,<not,(0.00%),0,0
2,v3.3.1,binaryTrees_1_original.js 21,47432948,0.94,0.94,0.31,0.38,0.14,0.08,5.54,1.28,0.06,2.95,2.08,47432948 ns,182111168,3.856 GHz,224017531,1.23,47.22 msec,0.996,185232573,3.922 GHz,2,85378516,1080740,47.23 msec,0.996,249 C,35306745,1502270,4.25%,<not,<not,2329,2329,0,<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,<not,(0.00%),<not,<not,(0.00%),0,0
3,v3.3.1,binaryTrees_1_original.js 21,46070658,0.92,0.92,0.31,0.39,0.13,0.08,5.68,1.30,0.06,2.95,2.16,46070658 ns,181018437,3.954 GHz,222982836,1.25,45.78 msec,0.994,180955301,3.953 GHz,2,83322672,1054742,45.78 msec,0.994,255 C,34314454,1425392,4.15%,<not,<not,2329,2329,0,<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,<not,(0.00%),<not,<not,(0.00%),0,0
4,v3.3.1,binaryTrees_1_original.js 21,46738138,0.96,0.93,0.31,0.38,0.13,0.09,5.65,1.29,0.06,3.11,2.16,46738138 ns,183742003,3.952 GHz,227105681,1.26,46.49 msec,0.995,184139502,3.960 GHz,1,84846538,1074006,46.50 msec,0.995,251 C,34426250,1515844,4.40%,<not,<not,2329,2329,0,<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,<not,(0.00%),<not,<not,(0.00%),0,0
5,v3.3.1,binaryTrees_1_original.js 21,46367392,0.92,0.93,0.31,0.39,0.13,0.08,5.68,1.31,0.06,3.07,2.16,46367392 ns,180787705,3.918 GHz,222693531,1.26,46.14 msec,0.995,180606974,3.914 GHz,1,82506812,1044390,46.14 msec,0.995,248 C,34211638,1401084,4.10%,<not,<not,2330,2330,0,<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,<not,(0.00%),<not,<not,(0.00%),0,0
6,v3.3.1,binaryTrees_1_original.js 21,46330480,0.94,0.91,0.31,0.39,0.13,0.08,5.70,1.30,0.06,2.84,2.15,46330480 ns,178789880,3.879 GHz,217819332,1.21,46.09 msec,0.995,177531810,3.851 GHz,1,82760876,1047606,46.10 msec,0.995,232 C,33969168,1395037,4.11%,<not,<not,2330,2330,0,<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,<not,(0.00%),<not,<not,(0.00%),0,0
7,v3.3.1,binaryTrees_1_original.js 21,46477455,0.97,0.95,0.31,0.40,0.14,0.09,5.66,1.29,0.06,3.18,2.16,46477455 ns,185614606,4.015 GHz,228937669,1.27,46.23 msec,0.995,185456213,4.011 GHz,1,85215702,1078679,46.24 msec,0.995,234 C,35574228,1196275,3.36%,<not,<not,2330,2330,0,<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,<not,(0.00%),<not,<not,(0.00%),0,0
8,v3.3.1,binaryTrees_1_original.js 21,46887144,0.96,0.93,0.31,0.39,0.14,0.10,5.62,1.29,0.06,3.21,2.16,46887144 ns,187249200,4.013 GHz,230928883,1.26,46.66 msec,0.995,187153851,4.011 GHz,3,86298536,1092386,46.66 msec,0.995,229 C,36271794,1237436,3.41%,<not,<not,2329,2329,0,<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,<not,(0.00%),<not,<not,(0.00%),0,0
9,v3.3.1,binaryTrees_1_original.js 21,46317691,0.91,0.94,0.31,0.38,0.13,0.08,5.68,1.30,0.06,3.03,2.16,46317691 ns,181080478,3.929 GHz,221879556,1.23,46.08 msec,0.995,180913492,3.926 GHz,2,82622075,1045849,46.09 msec,0.995,228 C,34141508,1416497,4.15%,<not,<not,2329,2329,0,<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,<not,(0.00%),<not,<not,(0.00%),0,0
10,v3.3.1,binaryTrees_1_original.js 21,45760233,0.86,0.92,0.31,0.40,0.13,0.08,5.67,1.30,0.06,3.03,2.16,45760233 ns,183147294,4.016 GHz,225870455,1.25,45.61 msec,0.997,183107682,4.015 GHz,2,84612793,1071048,45.61 msec,0.997,226 C,35802905,1049679,2.93%,<not,<not,2330,2330,0,<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,<not,(0.00%),<not,<not,(0.00%),0,0
