version,appplication,time_elapsed,CPU_Utilization,CPI,Retiring,Frontend_Bound,Bad_Speculation,Backend_Bound,ILP,IPC,Kernel_Utilization,L1D_Cache_Fill_BW,Turbo_Utilization,time_elapsed,cycles,freq_cycles,instructions,insn_per_cycle,cpu_clock,no_cpus,cpu_cycles,freq_cpu_cycles,cpu_migrations,ref_cycles,bus_cycles,task_clock,no_cpus_task_clock,cpu_thermal_margin,branches,branch_misses,percent_branch_misses,mem_loads,mem_stores,page_faults,minor_faults,major_faults,cache_references,cache_misses,percent_cache_misses,L1_dcache_loads,L1_dcache_load_misses,percent_L1_dcache_load_misses,LLC_loads,LLC_load_misses,percent_LLC_load_misses,L1_icache_load_misses,dTLB_loads,dTLB_load_misses,percent_dTLB_load_misses,iTLB_loads,iTLB_load_misses,percent_iTLB_load_misses,block_rq_issue,block_rq_complete
v0.8.28,binaryTrees_1_original.js 21,25626024.60,0.90,0.73,0.37,0.37,0.14,0.15,5.54,1.15,0.64,0.05,0.03,25626024.60,85349102.20,3.51,1910818.10,0.02,25.63,1.00,1687180.10,0.04,0.70,0.00,0.00,25.65,1.00,83.60,0.00,0.00,0.00,0.00,0.00,1700.80,1700.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
v0.10.48,binaryTrees_1_original.js 21,25271782.40,0.91,0.75,0.37,0.34,0.14,0.14,4.91,1.05,0.27,0.00,0.00,25271782.40,96202563.20,3.81,0.00,0.00,25.25,1.00,0.00,0.00,0.80,0.00,0.00,25.27,1.00,84.90,0.00,0.00,0.00,0.00,0.00,1682.50,1682.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
v0.12.18,binaryTrees_1_original.js 21,57126385.10,0.97,0.88,0.32,0.38,0.15,0.10,5.95,1.43,0.07,2.90,1.85,57126385.10,166426844.00,3.31,206578477.60,1.06,56.76,0.99,171534922.10,3.35,2.10,104069641.50,1315748.70,56.76,0.99,233.60,33751893.10,1321257.70,3.89,15.80,6771139.20,2695.50,2695.50,0.00,1627720.50,395421.70,5.23,4033215.40,214015.30,0.53,67950.20,14120.70,2.08,1254048.30,10624199.50,5134.50,0.01,81220.70,0.00,0.00,0.00,0.00
v1.8.4,binaryTrees_1_original.js 21,48874740.50,0.96,0.98,0.30,0.42,0.14,0.08,5.67,1.32,0.07,3.27,2.15,48874740.50,195737216.80,4.02,238397365.50,1.24,48.72,1.00,195467847.30,4.01,2.50,90363055.40,1143835.80,48.73,1.00,286.50,37339706.10,1440855.10,3.86,3.40,0.00,2541.70,2541.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
v2.5.0,binaryTrees_1_original.js 21,50040259.20,0.93,0.95,0.30,0.38,0.13,0.10,5.34,1.28,0.06,2.48,2.03,50040259.20,181792920.70,3.71,222496526.70,1.27,49.85,1.00,188874710.00,3.82,2.60,87738660.30,1112059.50,49.86,1.00,294.30,37754846.50,1328850.10,3.51,10.10,5482259.80,2440.00,2440.00,0.00,1101797.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
v3.3.1,binaryTrees_1_original.js 21,46688084.90,0.93,0.93,0.31,0.39,0.13,0.08,5.65,1.29,0.06,3.02,2.14,46688084.90,182727547.80,3.93,223549037.50,1.24,46.45,1.00,183021489.60,3.94,1.60,84441916.80,1068887.10,46.46,1.00,240.70,34933997.40,1373061.50,3.94,0.00,0.00,2329.50,2329.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
v4.9.1,binaryTrees_1_original.js 21,66528101.30,0.91,0.95,0.30,0.38,0.14,0.13,5.66,1.34,0.06,3.15,2.07,66528101.30,231546980.30,3.80,287015428.40,1.27,66.11,1.00,227572756.30,3.78,2.40,122104428.60,1545874.40,66.12,1.00,293.20,45054213.70,1730411.80,3.84,62.90,3073869.30,2549.90,2549.90,0.00,544128.10,86228.10,1.58,4466729.20,177910.10,0.40,38699.00,9257.00,2.39,321944.50,3340464.10,1708.70,0.01,11673.70,15505.40,13.28,0.00,0.00
v5.12.0,binaryTrees_1_original.js 21,29443728.60,0.95,0.91,0.31,0.38,0.14,0.11,5.36,1.06,0.08,2.55,2.14,29443728.60,114172393.10,3.91,0.00,0.00,29.20,0.99,0.00,0.00,1.70,0.00,0.00,29.21,0.99,252.10,0.00,0.00,0.00,0.00,0.00,2266.10,2266.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
v6.17.1,binaryTrees_1_original.js 21,37353488.40,0.93,0.90,0.31,0.38,0.13,0.09,5.80,1.35,0.05,2.83,2.14,37353488.40,143402367.20,3.83,152741680.30,1.08,37.41,1.00,133514038.00,3.57,3.00,0.00,0.00,37.42,1.00,301.80,0.00,0.00,0.00,0.00,0.00,2051.40,2051.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
v7.10.1,binaryTrees_1_original.js 21,62467315.00,0.92,0.91,0.31,0.34,0.18,0.08,5.70,1.41,0.04,2.97,2.16,62467315.00,246483852.90,3.96,333505404.50,1.38,62.30,1.00,246752036.30,3.96,2.50,114485775.90,1446081.30,62.31,1.00,296.10,57339950.70,2015393.00,3.51,86.20,0.00,3064.40,3064.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
