version,appplication,no_measurement,timestamp,pid,command,virt,res,shr,percent_cpu,percent_mem,tasks_total,tasks_running,tasks_sleeping,tasks_stopped,tasks_zombie,cpu_us,cpu_sy,cpu_ni,cpu_id,cpu_wa,cpu_hi,cpu_si,cpu_st,mem_total,mem_free,mem_used,mem_buff_cache,swap_total,swap_free,swap_used,swap_avail
Python 3.5.10,nbody.py 50000000,0,1690201131,286866,python3,15544,8216,4840,58.8,0.1,317,2,310,5,0,18.6,11.6,0,69.8,0,0,0,0,15795.0 MiB,5733.0 MiB,1996.0 MiB,8065.9 MiB,4096.0 MiB,4095.0 MiB,1.0 MiB,13035.9 MiB
Python 3.5.10,nbody.py 50000000,1,1690201132,286866,python3,15544,8216,4840,100,0.1,317,2,310,5,0,13.3,0.8,0,85.9,0,0,0,0,15795.0 MiB,5733.3 MiB,1995.6 MiB,8066.2 MiB,4096.0 MiB,4095.0 MiB,1.0 MiB,13036.2 MiB
Python 3.5.10,nbody.py 50000000,2,1690201134,286866,python3,15544,8216,4840,93.8,0.1,317,2,310,5,0,13.5,0,0,86.5,0,0,0,0,15795.0 MiB,5748.8 MiB,1988.0 MiB,8058.2 MiB,4096.0 MiB,4095.0 MiB,1.0 MiB,13051.7 MiB
Python 3.5.10,nbody.py 50000000,3,1690201135,286866,python3,15544,8216,4840,100,0.1,317,2,310,5,0,12.7,0.8,0,86.5,0,0,0,0,15795.0 MiB,5748.3 MiB,1988.5 MiB,8058.2 MiB,4096.0 MiB,4095.0 MiB,1.0 MiB,13051.2 MiB
Python 3.5.10,nbody.py 50000000,4,1690201136,286866,python3,15544,8216,4840,93.8,0.1,317,2,310,5,0,13.5,0,0,86.5,0,0,0,0,15795.0 MiB,5749.0 MiB,1987.8 MiB,8058.2 MiB,4096.0 MiB,4095.0 MiB,1.0 MiB,13052.0 MiB
Python 3.5.10,nbody.py 50000000,5,1690201137,286866,python3,15544,8216,4840,100,0.1,317,2,310,5,0,12.6,0.8,0,86.6,0,0,0,0,15795.0 MiB,5749.3 MiB,1987.5 MiB,8058.2 MiB,4096.0 MiB,4095.0 MiB,1.0 MiB,13052.3 MiB
Python 3.5.10,nbody.py 50000000,6,1690201138,286866,python3,15544,8216,4840,100,0.1,317,2,310,5,0,12.6,0.8,0,86.6,0,0,0,0,15795.0 MiB,5749.3 MiB,1987.5 MiB,8058.2 MiB,4096.0 MiB,4095.0 MiB,1.0 MiB,13052.3 MiB
Python 3.5.10,nbody.py 50000000,7,1690201139,286866,python3,15544,8216,4840,100,0.1,317,2,310,5,0,12.8,0,0,87.2,0,0,0,0,15795.0 MiB,5749.0 MiB,1987.8 MiB,8058.2 MiB,4096.0 MiB,4095.0 MiB,1.0 MiB,13052.0 MiB
Python 3.5.10,nbody.py 50000000,8,1690201141,286866,python3,15544,8216,4840,100,0.1,317,2,310,5,0,12.6,0.8,0,86.6,0,0,0,0,15795.0 MiB,5748.8 MiB,1988.0 MiB,8058.2 MiB,4096.0 MiB,4095.0 MiB,1.0 MiB,13051.8 MiB
Python 3.5.10,nbody.py 50000000,9,1690201142,286866,python3,15544,8216,4840,93.8,0.1,317,2,310,5,0,13.3,0.8,0,85.9,0,0,0,0,15795.0 MiB,5749.1 MiB,1987.6 MiB,8058.3 MiB,4096.0 MiB,4095.0 MiB,1.0 MiB,13052.1 MiB
Python 3.5.10,nbody.py 50000000,10,1690201143,286866,python3,15544,8216,4840,100,0.1,317,2,310,5,0,12.8,0.8,0,86.4,0,0,0,0,15795.0 MiB,5748.8 MiB,1987.8 MiB,8058.3 MiB,4096.0 MiB,4095.0 MiB,1.0 MiB,13051.9 MiB
Python 3.5.10,nbody.py 50000000,11,1690201144,286866,python3,15544,8216,4840,93.8,0.1,317,2,310,5,0,12.7,0,0,87.3,0,0,0,0,15795.0 MiB,5748.8 MiB,1987.8 MiB,8058.3 MiB,4096.0 MiB,4095.0 MiB,1.0 MiB,13051.9 MiB
Python 3.5.10,nbody.py 50000000,12,1690201145,286866,python3,15544,8216,4840,100,0.1,317,2,310,5,0,12.6,0.8,0,86.6,0,0,0,0,15795.0 MiB,5748.3 MiB,1988.3 MiB,8058.3 MiB,4096.0 MiB,4095.0 MiB,1.0 MiB,13051.5 MiB
Python 3.5.10,nbody.py 50000000,13,1690201146,286866,python3,15544,8216,4840,93.8,0.1,318,2,311,5,0,12.7,0,0,87.3,0,0,0,0,15795.0 MiB,5748.3 MiB,1988.3 MiB,8058.4 MiB,4096.0 MiB,4095.0 MiB,1.0 MiB,13051.5 MiB
Python 3.5.10,nbody.py 50000000,14,1690201148,286866,python3,15544,8216,4840,100,0.1,318,2,311,5,0,13.4,0.8,0,85.8,0,0,0,0,15795.0 MiB,5748.1 MiB,1988.5 MiB,8058.4 MiB,4096.0 MiB,4095.0 MiB,1.0 MiB,13051.2 MiB
Python 3.5.10,nbody.py 50000000,15,1690201149,286866,python3,15544,8216,4840,93.8,0.1,318,2,311,5,0,13.3,0.8,0,85.9,0,0,0,0,15795.0 MiB,5748.4 MiB,1988.3 MiB,8058.4 MiB,4096.0 MiB,4095.0 MiB,1.0 MiB,13051.5 MiB
Python 3.5.10,nbody.py 50000000,16,1690201150,286866,python3,15544,8216,4840,100,0.1,318,2,311,5,0,12.7,0,0,87.3,0,0,0,0,15795.0 MiB,5748.6 MiB,1988.0 MiB,8058.4 MiB,4096.0 MiB,4095.0 MiB,1.0 MiB,13051.7 MiB
Python 3.5.10,nbody.py 50000000,17,1690201151,286866,python3,15544,8216,4840,100,0.1,318,2,311,5,0,13,0.8,0,86.3,0,0,0,0,15795.0 MiB,5748.9 MiB,1987.8 MiB,8058.4 MiB,4096.0 MiB,4095.0 MiB,1.0 MiB,13052.0 MiB
Python 3.5.10,nbody.py 50000000,18,1690201152,286866,python3,15544,8216,4840,93.8,0.1,318,2,311,5,0,12.6,0.8,0,86.6,0,0,0,0,15795.0 MiB,5748.9 MiB,1987.8 MiB,8058.4 MiB,4096.0 MiB,4095.0 MiB,1.0 MiB,13052.0 MiB
Python 3.5.10,nbody.py 50000000,19,1690201153,286866,python3,15544,8216,4840,100,0.1,318,2,311,5,0,12.6,0.8,0,86.6,0,0,0,0,15795.0 MiB,5748.9 MiB,1987.8 MiB,8058.4 MiB,4096.0 MiB,4095.0 MiB,1.0 MiB,13052.0 MiB
Python 3.5.10,nbody.py 50000000,20,1690201155,286866,python3,15544,8216,4840,93.8,0.1,318,2,311,5,0,12.6,0.8,0,86.6,0,0,0,0,15795.0 MiB,5749.1 MiB,1987.5 MiB,8058.4 MiB,4096.0 MiB,4095.0 MiB,1.0 MiB,13052.2 MiB
Python 3.5.10,nbody.py 50000000,21,1690201156,286866,python3,15544,8216,4840,100,0.1,318,2,311,5,0,12.7,0.8,0,86.5,0,0,0,0,15795.0 MiB,5748.9 MiB,1987.8 MiB,8058.4 MiB,4096.0 MiB,4095.0 MiB,1.0 MiB,13052.0 MiB
