version,appplication,no_measurement,timestamp,pid,command,virt,res,shr,percent_cpu,percent_mem,tasks_total,tasks_running,tasks_sleeping,tasks_stopped,tasks_zombie,cpu_us,cpu_sy,cpu_ni,cpu_id,cpu_wa,cpu_hi,cpu_si,cpu_st,mem_total,mem_free,mem_used,mem_buff_cache,swap_total,swap_free,swap_used,swap_avail
Python 3.0.1,nbody.py 50000000,0,1690199035,281891,python3,20432,9544,5972,62.5,0.1,294,2,287,5,0,21.4,10.7,0,67.9,0,0,0,0,15795.0 MiB,6521.7 MiB,1496.8 MiB,7776.4 MiB,4096.0 MiB,4095.0 MiB,1.0 MiB,13661.0 MiB
Python 3.0.1,nbody.py 50000000,1,1690199036,281891,python3,20432,9544,5972,93.8,0.1,294,2,287,5,0,13.4,0.8,0,85.8,0,0,0,0,15795.0 MiB,6520.5 MiB,1497.7 MiB,7776.8 MiB,4096.0 MiB,4095.0 MiB,1.0 MiB,13659.8 MiB
Python 3.0.1,nbody.py 50000000,2,1690199037,281891,python3,20432,9544,5972,100,0.1,294,2,287,5,0,13.4,0,0,86.6,0,0,0,0,15795.0 MiB,6535.5 MiB,1490.6 MiB,7768.9 MiB,4096.0 MiB,4095.0 MiB,1.0 MiB,13674.8 MiB
Python 3.0.1,nbody.py 50000000,3,1690199038,281891,python3,20432,9544,5972,100,0.1,294,2,287,5,0,12.8,0,0,87.2,0,0,0,0,15795.0 MiB,6534.8 MiB,1491.4 MiB,7768.8 MiB,4096.0 MiB,4095.0 MiB,1.0 MiB,13674.1 MiB
Python 3.0.1,nbody.py 50000000,4,1690199039,281891,python3,20432,9544,5972,100,0.1,294,2,287,5,0,12.7,0.8,0,86.5,0,0,0,0,15795.0 MiB,6534.3 MiB,1491.9 MiB,7768.8 MiB,4096.0 MiB,4095.0 MiB,1.0 MiB,13673.6 MiB
Python 3.0.1,nbody.py 50000000,5,1690199041,281891,python3,20432,9544,5972,100,0.1,294,2,287,5,0,13.5,0,0,86.5,0,0,0,0,15795.0 MiB,6533.6 MiB,1492.6 MiB,7768.8 MiB,4096.0 MiB,4095.0 MiB,1.0 MiB,13672.9 MiB
Python 3.0.1,nbody.py 50000000,6,1690199042,281891,python3,20432,9544,5972,100,0.1,294,2,287,5,0,12.8,0.8,0,86.4,0,0,0,0,15795.0 MiB,6532.9 MiB,1493.3 MiB,7768.8 MiB,4096.0 MiB,4095.0 MiB,1.0 MiB,13672.2 MiB
Python 3.0.1,nbody.py 50000000,7,1690199043,281891,python3,20432,9544,5972,100,0.1,294,2,287,5,0,13.4,0.8,0,85.8,0,0,0,0,15795.0 MiB,6532.9 MiB,1493.3 MiB,7768.8 MiB,4096.0 MiB,4095.0 MiB,1.0 MiB,13672.2 MiB
Python 3.0.1,nbody.py 50000000,8,1690199044,281891,python3,20432,9544,5972,93.8,0.1,294,2,287,5,0,12.7,0.8,0,86.5,0,0,0,0,15795.0 MiB,6532.6 MiB,1493.6 MiB,7768.8 MiB,4096.0 MiB,4095.0 MiB,1.0 MiB,13671.9 MiB
Python 3.0.1,nbody.py 50000000,9,1690199045,281891,python3,20432,9544,5972,100,0.1,294,2,287,5,0,13.3,0.8,0,85.9,0,0,0,0,15795.0 MiB,6532.4 MiB,1493.8 MiB,7768.8 MiB,4096.0 MiB,4095.0 MiB,1.0 MiB,13671.7 MiB
