test,release_date,path,version,appplication,CPU_Utilization,CPI,Retiring,Frontend_Bound,Bad_Speculation,Backend_Bound,ILP,IPC_perf,Kernel_Utilization,L1D_Cache_Fill_BW,Turbo_Utilization,time_elapsed_sec,cycles,freq_cycles_GHz,instructions,insn_per_cycle,cpu_clock_msec,no_cpus,cpu_cycles,freq_cpu_cycles_GHz,cpu_migrations,ref_cycles,bus_cycles,task_clock_msec,no_cpus_task_clock,cpu_thermal_margin_C,branches,branch_misses,percent_branch_misses,mem_loads,mem_stores,page_faults,minor_faults,major_faults,cache_references,cache_misses,percent_cache_misses,L1_dcache_loads,L1_dcache_load_misses,percent_L1_dcache_load_misses,LLC_loads,LLC_load_misses,percent_LLC_load_misses,L1_icache_load_misses,dTLB_loads,dTLB_load_misses,percent_dTLB_load_misses,iTLB_loads,iTLB_load_misses,percent_iTLB_load_misses,block_rq_issue,block_rq_complete,TotalSlots,FetchBubbles,SlotsRetired,SlotsIssued+RecoveryBubbles,SlotsBackend
1,2011-05-26,nbody_50000000_original,2.5.6,nbody.py 50000000,1.0,0.37,0.66,0.2,0.11,0.03,6.98,2.67,0.0,0.03,1.91,518.099694782,1869107682044,3.608,4987894560941,2.67,518061.38,1.0,1869050604861,3.608,92,980202236126,12408223303,518062.0,1.0,1898.0,1017499902997,9576679154,0.94%,0,791022234447,406125,406125,0,287324146,152786887,53.176,1692345868387,265159926,0.02%,24138358,15471295,64.09%,86120684,1692461881265,14340978,0.00%,2331785,4431810,190.06%,0,0,7476430728176,1495286145635.2002,4934444280596.16,822407380099.36,224292921845.28
2,2011-05-26,nbody_50000000_original,2.5.6,nbody.py 50000000,1.0,0.37,0.66,0.19,0.11,0.03,6.98,2.67,0.0,0.05,1.82,542.083263088,1867630831501,3.446,4987532397164,2.67,542045.79,1.0,1867537234476,3.445,46,1026396700254,12993108111,542046.34,1.0,1467.0,1017413606141,9661712917,0.95%,0,791299451653,406105,406105,0,288565890,141895095,49.173,1692707691956,391610614,0.02%,30802999,21563704,70.01%,116164166,1692472602733,4322859,0.00%,962116,1279944,133.03%,0,0,7470523326004,1419399431940.76,4930545395162.641,821757565860.4401,224115699780.12
3,2011-05-26,nbody_50000000_original,2.5.6,nbody.py 50000000,1.0,0.37,0.67,0.19,0.1,0.03,7.02,2.7,0.0,0.04,1.83,531.536619741,1844459363833,3.47,4987569964845,2.7,531498.29,1.0,1844443076827,3.47,52,1006466187040,12740807982,531498.87,1.0,1445.0,1017501255128,9085483864,0.89%,0,791092625539,406153,406153,0,260196992,136629557,52.51,1692533821061,280059797,0.02%,30051445,20636116,68.67%,89567330,1692416783568,4518558,0.00%,340426,437205,128.43%,0,0,7377837455332,1401789116513.08,4943151095072.44,737783745533.2001,221335123659.96
4,2011-05-26,nbody_50000000_original,2.5.6,nbody.py 50000000,1.0,0.38,0.65,0.2,0.11,0.03,6.95,2.63,0.0,0.04,1.83,546.258809992,1895532624428,3.47,4988230542146,2.63,546216.64,1.0,1895494038263,3.47,50,1034354713013,13093807141,546217.29,1.0,1462.0,1017419678938,10445747225,1.03%,0,791038007218,406134,406134,0,288309930,151249283,52.461,1692385514347,302807798,0.02%,23771101,15679173,65.96%,109828283,1692175667863,4847570,0.00%,1909610,259360255,13581.84%,0,0,7582130497712,1516426099542.4001,4928384823512.8,834034354748.32,227463914931.36
5,2011-05-26,nbody_50000000_original,2.5.6,nbody.py 50000000,1.0,0.38,0.66,0.2,0.11,0.03,6.96,2.64,0.0,0.03,1.83,544.268446826,1890653129438,3.474,4986927421578,2.64,544229.55,1.0,1890651553188,3.474,56,1030601525226,13046310247,544230.15,1.0,1543.0,1017728064144,9859551002,0.97%,0,791304763058,406091,406091,0,291368739,151918817,52.14,1692967882831,285099910,0.02%,24527089,15031176,61.28%,152250299,1692716816529,6068627,0.00%,6821306,337545359,4948.40%,0,0,7562612517752,1512522503550.4001,4991324261716.32,831887376952.72,226878375532.56
6,2011-05-26,nbody_50000000_original,2.5.6,nbody.py 50000000,1.0,0.38,0.66,0.2,0.11,0.03,6.96,2.65,0.0,0.04,1.83,543.161340883,1881541597493,3.464,4987448422523,2.65,543124.27,1.0,1881476782796,3.464,64,1028481301305,13019499273,543124.86,1.0,1451.0,1017425759014,9747675650,0.96%,0,791104395711,406142,406142,0,294531645,153770502,52.208,1692674507168,348698087,0.02%,23826700,15567256,65.34%,144717429,1692323956302,5251493,0.00%,559651,92860842,16592.63%,0,0,7526166389972,1505233277994.4001,4967269817381.5205,827878302896.92,225784991699.16
7,2011-05-26,nbody_50000000_original,2.5.6,nbody.py 50000000,1.0,0.38,0.66,0.2,0.11,0.03,6.94,2.64,0.0,0.04,1.83,544.792132525,1890988851277,3.471,4987682894951,2.64,544753.76,1.0,1890897093337,3.471,51,1031584729802,13058741783,544754.38,1.0,1435.0,1017468546043,9950070768,0.98%,0,791197605222,406116,406116,0,279009177,156408000,56.058,1692676326625,313005502,0.02%,26019540,13921105,53.50%,273621839,1692422801639,5789916,0.00%,2484366,10042820,404.24%,0,0,7563955405108,1512791081021.6,4992210567371.28,832035094561.88,226918662153.24
8,2011-05-26,nbody_50000000_original,2.5.6,nbody.py 50000000,1.0,0.37,0.67,0.19,0.11,0.03,7.01,2.69,0.0,0.04,1.81,540.500077018,1852741075990,3.428,4986211093280,2.69,540459.29,1.0,1852835050182,3.428,76,1023367905333,12954756342,540459.85,1.0,1424.0,1017595444226,9038589423,0.89%,0,791363653908,406121,406121,0,288353798,154345226,53.526,1692882940072,345667577,0.02%,26007469,16790878,64.56%,99321550,1692757473739,4670571,0.00%,1476621,10235885,693.20%,0,0,7410964303960,1408083217752.4,4965346083653.2,815206073435.6,222328929118.8
9,2011-05-26,nbody_50000000_original,2.5.6,nbody.py 50000000,1.0,0.37,0.67,0.19,0.11,0.03,7.0,2.69,0.0,0.03,1.83,534.718019282,1854058855566,3.468,4987890515759,2.69,534681.8,1.0,1854063180366,3.468,56,1012495064305,12817111077,534682.39,1.0,1468.0,1017368030426,9257662686,0.91%,0,791131446442,406148,406148,0,273692317,150665145,55.049,1692775420796,277679710,0.02%,24122990,16094885,66.72%,94613605,1692458863819,5560652,0.00%,406884,20468614,5030.58%,0,0,7416235422264,1409084730230.16,4968877732916.88,815785896449.04,222487062667.91998
10,2011-05-26,nbody_50000000_original,2.5.6,nbody.py 50000000,1.0,0.37,0.67,0.19,0.11,0.03,7.02,2.69,0.0,0.04,1.83,534.171178182,1852625334984,3.468,4987338806154,2.69,534128.64,1.0,1852617216710,3.468,44,1011451660112,12803892020,534129.29,1.0,1437.0,1017496603019,9154963927,0.90%,0,791232213826,406125,406125,0,260079918,147318271,56.643,1692856801385,282743902,0.02%,23497907,16141549,68.69%,87411433,1692425833533,5282846,0.00%,306280,643858,210.22%,0,0,7410501339936,1407995254587.84,4965035897757.12,815155147392.96,222315040198.08
