test,release_date,path,version,appplication,CPU_Utilization,CPI,Retiring,Frontend_Bound,Bad_Speculation,Backend_Bound,ILP,IPC_perf,Kernel_Utilization,L1D_Cache_Fill_BW,Turbo_Utilization,time_elapsed_sec,cycles,freq_cycles_GHz,instructions,insn_per_cycle,cpu_clock_msec,no_cpus,cpu_cycles,freq_cpu_cycles_GHz,cpu_migrations,ref_cycles,bus_cycles,task_clock_msec,no_cpus_task_clock,cpu_thermal_margin_C,branches,branch_misses,percent_branch_misses,mem_loads,mem_stores,page_faults,minor_faults,major_faults,cache_references,cache_misses,percent_cache_misses,L1_dcache_loads,L1_dcache_load_misses,percent_L1_dcache_load_misses,LLC_loads,LLC_load_misses,percent_LLC_load_misses,L1_icache_load_misses,dTLB_loads,dTLB_load_misses,percent_dTLB_load_misses,iTLB_loads,iTLB_load_misses,percent_iTLB_load_misses,block_rq_issue,block_rq_complete,TotalSlots,FetchBubbles,SlotsRetired,SlotsIssued+RecoveryBubbles,SlotsBackend
1,2023-07-18,nbody_50000000_v4_original,1.8.0_382,nbody.java 50000000,1.0,0.51,0.53,0.01,0.0,0.46,5.08,1.96,0.0,0.1,2.13,3.804971179,15145830457,3.969,29441593605,1.95,3815.79,1.003,15243825907,3.995,19,7142040220,90521403,3815.93,1.003,891.0,1918852606,4212538,0.22%,0,4107304069,2944,2935,8,320297,513317,160.263,8777052300,367427,0.00%,82381,3887,4.72%,383219,8573651361,131,0.00%,3108,3684,118.53%,0,0,60583321828,605833218.28,32109160568.84,0.0,27868328040.88
2,2023-07-18,nbody_50000000_v4_original,1.8.0_382,nbody.java 50000000,1.0,0.51,0.53,0.01,0.0,0.46,5.07,1.95,0.0,0.09,2.13,3.816749759,15216845307,3.976,29502408542,1.95,3826.83,1.003,15311981434,4.001,15,7140753985,90529750,3826.98,1.003,882.0,1921190659,4447766,0.23%,0,4100621824,2962,2953,8,419811,97279,23.172,8742763214,372624,0.00%,81337,29407,36.15%,1038502,8801531894,633,0.00%,3658,3980,108.80%,0,0,60867381228,608673812.28,32259712050.84,0.0,27998995364.88
3,2023-07-18,nbody_50000000_v4_original,1.8.0_382,nbody.java 50000000,1.0,0.51,0.53,0.01,0.0,0.46,5.07,1.95,0.0,0.08,2.13,3.817884232,15169423153,3.962,29278132315,1.94,3828.54,1.003,15262377589,3.986,22,7148041968,90597421,3828.7,1.003,826.0,1915120783,4447600,0.23%,0,4111252376,2971,2962,8,435797,69557,15.961,8792631921,140187,0.00%,96073,34257,35.66%,1170770,8762013250,3329,0.00%,3938,5692,144.54%,0,0,60677692612,606776926.12,32159177084.36,0.0,27911738601.52
4,2023-07-18,nbody_50000000_v4_original,1.8.0_382,nbody.java 50000000,1.0,0.51,0.53,0.01,0.0,0.46,5.07,1.95,0.0,0.15,2.14,3.812452208,15297375201,4.0,29371864017,1.94,3823.89,1.003,15363494166,4.018,17,7163147290,90517634,3824.04,1.003,810.0,1897858130,1602277,0.08%,0,4093636331,2969,2957,11,315583,472100,149.596,8791147669,390936,0.00%,86519,3308,3.82%,431515,8558821807,672,0.00%,3848,3255,84.59%,0,0,61189500804,611895008.04,32430435426.120003,0.0,28147170369.84
5,2023-07-18,nbody_50000000_v4_original,1.8.0_382,nbody.java 50000000,1.0,0.51,0.53,0.01,0.0,0.46,5.07,1.96,0.0,0.06,2.11,3.827176028,15012327073,3.911,29433402151,1.96,3838.07,1.003,15157247691,3.949,15,7118844112,90195735,3838.22,1.003,778.0,1903815151,4746803,0.25%,0,4087604016,2965,2956,8,2578704,90683,3.517,8747176066,140297,0.00%,16923,30124,178.01%,957224,8817567277,7058,0.00%,6705,4116,61.39%,0,0,60049308292,600493082.92,31826133394.760002,0.0,27622681814.32
6,2023-07-18,nbody_50000000_v4_original,1.8.0_382,nbody.java 50000000,1.0,0.51,0.53,0.01,0.0,0.46,5.07,1.91,0.02,0.04,2.11,3.839492119,15090012240,3.919,29414255494,1.95,3850.16,1.003,15178184521,3.942,17,7152013367,90648674,3850.33,1.003,731.0,1911417019,4849439,0.25%,0,4092475716,2963,2954,8,12321783,291834,2.368,8799533016,266346,0.00%,51786,4572,8.83%,831300,8839857888,7817,0.00%,21987,17430,79.27%,0,0,60360048960,603600489.6,31990825948.800003,0.0,27765622521.600002
7,2023-07-18,nbody_50000000_v4_original,1.8.0_382,nbody.java 50000000,1.0,0.51,0.53,0.01,0.0,0.46,5.07,1.96,0.0,0.07,2.12,3.819214622,15140686891,3.953,29456547059,1.96,3829.83,1.003,15214039265,3.972,19,7148427125,90649932,3829.99,1.003,732.0,1917065787,4653759,0.24%,0,4109217920,2945,2936,8,410734,89477,21.785,8800194787,368327,0.00%,81035,29650,36.59%,1001552,8809159834,185,0.00%,2949,4007,135.88%,0,0,60562747564,605627475.64,32098256208.920002,0.0,27858863879.440002
8,2023-07-18,nbody_50000000_v4_original,1.8.0_382,nbody.java 50000000,1.0,0.51,0.53,0.03,0.0,0.45,5.09,1.96,0.0,0.1,2.13,3.804443106,15204802623,3.986,29537123193,1.95,3814.8,1.003,15300565915,4.011,16,7147890704,90492347,3814.94,1.003,708.0,1921915533,3032711,0.16%,0,4110426957,2969,2957,11,1948550,502022,25.764,8774364548,500519,0.01%,51387,6677,12.99%,754125,8587930818,285,0.00%,3774,8417,223.03%,0,0,60819210492,1824576314.76,32234181560.760002,0.0,27368644721.4
9,2023-07-18,nbody_50000000_v4_original,1.8.0_382,nbody.java 50000000,1.0,0.51,0.53,0.01,0.0,0.46,5.09,1.96,0.01,0.08,2.12,3.805211509,15138115066,3.967,29466282514,1.95,3815.93,1.003,15228678045,3.991,19,7131439613,90411420,3816.09,1.003,673.0,1918588339,4668910,0.24%,0,4123804701,2965,2956,8,877083,521204,59.425,8779134713,395073,0.00%,59130,9003,15.23%,468059,8564397846,169,0.00%,3898,4878,125.14%,0,0,60552460264,605524602.64,32092803939.920002,0.0,27854131721.440002
10,2023-07-18,nbody_50000000_v4_original,1.8.0_382,nbody.java 50000000,0.99,0.51,0.53,0.01,0.0,0.46,5.08,1.96,0.0,0.03,2.11,3.838676563,14930874910,3.878,29328981551,1.94,3849.63,1.003,15029526725,3.904,22,7110816370,90142508,3849.79,1.003,680.0,1888782327,4573442,0.24%,0,4037780574,2965,2956,8,16760677,599429,3.576,8792933067,143732,0.00%,20357,3904,19.18%,407294,8825405575,0,0.00%,24961,13029,52.20%,0,0,59723499640,597234996.4,31653454809.2,0.0,27472809834.4
