version,release_date,appplication,no_measurement,timestamp,pid,command,virt,res,shr,percent_cpu,percent_mem,tasks_total,tasks_running,tasks_sleeping,tasks_stopped,tasks_zombie,cpu_us,cpu_sy,cpu_ni,cpu_id,cpu_wa,cpu_hi,cpu_si,cpu_st,mem_total,mem_free,mem_used,mem_buff_cache,swap_total,swap_free,swap_used,swap_avail,Unnamed: 32
1.8.0_362,2023-04-18,nbody.java 50000000,0,1690637749,1180936,java,6832680,28236,18408,100.0,0.2,377,1,311,65,0,16.0,1.5,0.0,82.4,0.0,0.0,0.0,0.0,15795.0 MiB,7614.6 MiB,2041.8 MiB,6138.6 MiB,4096.0 MiB,1408.4 MiB,2687.6 MiB,12958.9 MiB,
1.8.0_362,2023-04-18,nbody.java 50000000,1,1690637750,1180936,java,6832680,28236,18408,100.0,0.2,377,1,311,65,0,12.5,0.8,0.0,86.7,0.0,0.0,0.0,0.0,15795.0 MiB,7613.4 MiB,2042.8 MiB,6138.7 MiB,4096.0 MiB,1408.4 MiB,2687.6 MiB,12957.7 MiB,
1.8.0_362,2023-04-18,nbody.java 50000000,2,1690637752,1180936,java,6832680,28236,18408,93.8,0.2,377,1,311,65,0,13.2,0.8,0.0,86.0,0.0,0.0,0.0,0.0,15795.0 MiB,7614.4 MiB,2048.9 MiB,6131.7 MiB,4096.0 MiB,1408.4 MiB,2687.6 MiB,12958.8 MiB,
1.8.0_362,2023-04-18,nbody.java 50000000,3,1690637753,1180936,java,6832680,28236,18408,93.8,0.2,377,1,311,65,0,13.1,1.5,0.0,85.4,0.0,0.0,0.0,0.0,15795.0 MiB,7613.4 MiB,2049.9 MiB,6131.7 MiB,4096.0 MiB,1408.4 MiB,2687.6 MiB,12957.8 MiB,
9.0.4,2018-01-16,nbody.java 50000000,0,1690638160,1181888,java,7962284,33852,17388,137.5,0.2,376,1,310,65,0,18.4,5.1,0.0,76.5,0.0,0.0,0.0,0.0,15795.0 MiB,7608.8 MiB,2043.6 MiB,6142.6 MiB,4096.0 MiB,1408.4 MiB,2687.6 MiB,12956.9 MiB,
9.0.4,2018-01-16,nbody.java 50000000,1,1690638161,1181888,java,7962284,33852,17388,100.0,0.2,376,1,310,65,0,12.7,0.0,0.0,87.3,0.0,0.0,0.0,0.0,15795.0 MiB,7606.6 MiB,2045.7 MiB,6142.8 MiB,4096.0 MiB,1408.4 MiB,2687.6 MiB,12954.7 MiB,
9.0.4,2018-01-16,nbody.java 50000000,2,1690638163,1181888,java,7962284,33852,17388,100.0,0.2,376,1,310,65,0,12.5,0.8,0.0,86.7,0.0,0.0,0.0,0.0,15795.0 MiB,7613.9 MiB,2045.3 MiB,6135.8 MiB,4096.0 MiB,1408.4 MiB,2687.6 MiB,12962.1 MiB,
9.0.4,2018-01-16,nbody.java 50000000,3,1690638164,1181888,java,7962284,33852,17388,106.7,0.2,376,1,310,65,0,12.5,0.8,0.0,86.7,0.0,0.0,0.0,0.0,15795.0 MiB,7614.2 MiB,2045.0 MiB,6135.8 MiB,4096.0 MiB,1408.4 MiB,2687.6 MiB,12962.4 MiB,
10.0.2,2018-07-17,nbody.java 50000000,0,1690638572,1182878,java,7954164,33484,17544,131.2,0.2,378,1,312,65,0,18.3,2.3,0.0,79.4,0.0,0.0,0.0,0.0,15795.0 MiB,7630.8 MiB,2016.6 MiB,6147.6 MiB,4096.0 MiB,1408.4 MiB,2687.6 MiB,12981.0 MiB,
10.0.2,2018-07-17,nbody.java 50000000,1,1690638573,1182878,java,7954164,33484,17544,100.0,0.2,378,1,312,65,0,13.3,0.8,0.0,85.9,0.0,0.0,0.0,0.0,15795.0 MiB,7629.1 MiB,2018.0 MiB,6147.9 MiB,4096.0 MiB,1408.4 MiB,2687.6 MiB,12979.3 MiB,
