test,version,appplication,CPU_Utilization,CPI,Retiring,Frontend_Bound,Bad_Speculation,Backend_Bound,ILP,IPC,Kernel_Utilization,L1D_Cache_Fill_BW,Turbo_Utilization,time_elapsed,cycles,freq_cycles,instructions,insn_per_cycle,cpu_clock,no_cpus,cpu_cycles,freq_cpu_cycles,cpu_migrations,ref_cycles,bus_cycles,task_clock,no_cpus_task_clock,cpu_thermal_margin,branches,branch_misses,percent_branch_misses,mem_loads,mem_stores,page_faults,minor_faults,major_faults,cache_references,cache_misses,percent_cache_misses,L1_dcache_loads,L1_dcache_load_misses,percent_L1_dcache_load_misses,LLC_loads,LLC_load_misses,percent_LLC_load_misses,L1_icache_load_misses,dTLB_loads,dTLB_load_misses,percent_dTLB_load_misses,iTLB_loads,iTLB_load_misses,percent_iTLB_load_misses,block_rq_issue,block_rq_complete
1,Python 2.5.6,nbody.py 50000000,1.00,0.37,0.66,0.19,0.11,0.03,7.00,2.67,0.00,0.03,1.96,503829842513 ns,1868830270666,3.710 GHz,4985658926443,2.67,503794.34 msec,1.000,1869033996009,3.710 GHz,97,952396931277,12056354928,503794.87 msec,1.000,2102 C,1017662215943,9100233557,0.89%,0,791425845833,406135,406135,0,294548347,149629473,50.800,1692593787855,260941687,0.02%,27293476,15519689,56.86%,96369459,1692408680125,5084843,0.00%,5060910,1807414,35.71%,0,0
2,Python 2.5.6,nbody.py 50000000,1.00,0.37,0.67,0.19,0.11,0.03,7.02,2.70,0.00,0.05,1.91,512217482811 ns,1850275638186,3.613 GHz,4988203630151,2.70,512175.31 msec,1.000,1850146820421,3.612 GHz,103,967558109789,12248342959,512175.97 msec,1.000,1407 C,1017568726090,9183239108,0.90%,0,791176117649,406107,406107,0,320397857,152220318,47.510,1692618725569,409858975,0.02%,28590260,17307364,60.54%,97302200,1692579107117,4410324,0.00%,5557136,951920,17.13%,0,0
3,Python 2.5.6,nbody.py 50000000,1.00,0.37,0.67,0.19,0.11,0.03,7.02,2.71,0.00,0.03,1.89,514906478455 ns,1842124589724,3.578 GHz,4987388147585,2.71,514869.66 msec,1.000,1842040667752,3.578 GHz,50,974415989619,12335050247,514870.21 msec,1.000,1057 C,1017390957029,9079793318,0.89%,0,791145094985,406125,406125,0,264864997,141144032,53.289,1692713465690,244932649,0.01%,26005319,18185958,69.93%,78822086,1692215969502,3472971,0.00%,1406618,2198351,156.29%,0,0
4,Python 2.5.6,nbody.py 50000000,1.00,0.37,0.67,0.19,0.11,0.03,7.03,2.71,0.00,0.03,1.91,509649750714 ns,1840473201276,3.611 GHz,4987703283242,2.71,509614.52 msec,1.000,1840531976172,3.612 GHz,88,964323364409,12207354773,509615.08 msec,1.000,1454 C,1017534451157,9122726711,0.90%,0,791192674060,406111,406111,0,261558535,148629693,56.825,1692476104582,233133553,0.01%,24551337,16636886,67.76%,70692215,1692444411033,3811191,0.00%,1832717,1150231,62.76%,0,0
5,Python 2.5.6,nbody.py 50000000,1.00,0.37,0.67,0.19,0.11,0.03,7.02,2.70,0.00,0.04,1.89,517578461041 ns,1850410767764,3.575 GHz,4987961951468,2.70,517533.40 msec,1.000,1850315160534,3.575 GHz,123,978141516735,12382305150,517534.12 msec,1.000,1309 C,1017469443150,9109040719,0.90%,0,791200295627,406139,406139,0,302929882,148335739,48.967,1692822440934,297053202,0.02%,25851267,16060830,62.13%,90865131,1692670802824,4866084,0.00%,4302211,5691765,132.30%,0,0
6,Python 2.5.6,nbody.py 50000000,1.00,0.37,0.67,0.19,0.11,0.03,7.02,2.70,0.00,0.04,1.89,516895078887 ns,1847411163012,3.574 GHz,4987473706712,2.70,516859.01 msec,1.000,1847445191079,3.574 GHz,80,978197610565,12382938708,516859.59 msec,1.000,1438 C,1017540424642,9155193606,0.90%,0,791237544736,406134,406134,0,265516849,139525741,52.549,1692922370092,335386718,0.02%,26332353,18182794,69.05%,72474157,1692310915601,15272606,0.00%,1515771,3521642,232.33%,0,0
7,Python 2.5.6,nbody.py 50000000,1.00,0.37,0.67,0.19,0.11,0.03,7.03,2.70,0.00,0.03,1.90,515033863909 ns,1848765211567,3.590 GHz,4988125502407,2.70,514997.57 msec,1.000,1848697659788,3.590 GHz,31,974586389907,12337264784,514998.12 msec,1.000,1519 C,1017536837667,9271491342,0.91%,0,791142169833,406122,406122,0,247933639,136846160,55.195,1692644000227,249634036,0.01%,25669478,18826155,73.34%,78824045,1692299355248,4017472,0.00%,1588566,596144,37.53%,0,0
8,Python 2.5.6,nbody.py 50000000,1.00,0.37,0.67,0.19,0.11,0.03,7.01,2.69,0.00,0.03,1.88,521738667389 ns,1853388887085,3.553 GHz,4987036441165,2.69,521701.92 msec,1.000,1853522421324,3.553 GHz,54,987567099886,12501500568,521702.47 msec,1.000,1533 C,1017739255861,9141773400,0.90%,0,791239867073,406151,406151,0,303855575,154471310,50.837,1692465629624,249365451,0.01%,29662103,16255650,54.80%,95794813,1692820046272,4235702,0.00%,2204980,27384557,1241.94%,0,0
9,Python 2.5.6,nbody.py 50000000,1.00,0.37,0.66,0.20,0.11,0.03,6.98,2.67,0.00,0.05,1.92,515851464683 ns,1869256081950,3.624 GHz,4988221988338,2.67,515814.20 msec,1.000,1869168930745,3.624 GHz,72,975988063748,12354746988,515814.73 msec,1.000,1483 C,1017572992685,9309444956,0.91%,0,791202959933,406088,406088,0,304871765,150041139,49.215,1692679597316,381939501,0.02%,27107019,16202116,59.77%,95590031,1692257013888,3653692,0.00%,2713870,53346454,1965.70%,0,0
10,Python 2.5.6,nbody.py 50000000,1.00,0.37,0.67,0.19,0.11,0.03,7.02,2.70,0.00,0.04,1.89,517826451417 ns,1847661916504,3.568 GHz,4988811133999,2.70,517784.16 msec,1.000,1847632125505,3.568 GHz,109,978923106181,12392098894,517784.79 msec,1.000,1173 C,1017579564745,9024265098,0.89%,0,791126599742,406117,406117,0,316902008,155529649,49.078,1692610773705,338123273,0.02%,26249658,16267496,61.97%,92922032,1692541859936,4390348,0.00%,4251456,3557017,83.67%,0,0
