version,appplication,time_elapsed,
Python 2.5.6,nbody.py 500,,
Python 2.7.18,nbody.py 500,,
Python 3.0.1,nbody.py 500,,
Python 3.4.10,nbody.py 500,,
Python 3.5.10,nbody.py 500,,
Python 3.6.15,nbody.py 500,,
Python 3.7.16,nbody.py 500,,
Python 3.8.16,nbody.py 500,,
Python 3.9.16,nbody.py 500,,
,nbody.py 500,0.088009,1716.9,1688134602.879567,0.00,0.00,1320.00,47.40,2794.30,1898.70,0.77,641.20,0.00,8.40,2621.40,1376.20,255.40,207.70,0.00,36.10,0.00,0.10,0.03,21.68,14.33,4.32,7.65,0.00,5.33,0.00,0.01,43.59,1.44,4.31,3.25,63.60,64.70,95.12,300.00,300.00,272.34,99.49,4.56,4.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.33,1.05,0.00,0.12,0.00,0.00
,nbody.py 500,0.0693301,1299.4,1688134604.186776,0.00,0.00,1557.00,47.97,3200.60,1925.30,0.87,663.50,0.00,7.10,2297.80,1199.10,217.40,121.50,0.10,20.50,0.00,0.00,0.02,18.48,15.31,5.35,8.43,0.00,5.86,0.00,0.00,41.69,2.24,4.69,3.41,68.90,69.50,97.72,300.00,300.00,278.79,103.34,7.17,7.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.60,1.32,0.00,0.11,0.00,0.00
,nbody.py 500,0.0671082,1709.9,1688134605.396432,0.00,0.00,997.50,30.19,3412.10,1894.10,1.10,443.30,0.00,9.20,1190.80,687.50,167.90,173.40,0.50,85.20,0.00,3.30,0.02,8.72,8.73,5.09,14.67,0.00,31.37,0.00,1.22,33.63,7.89,11.89,16.40,72.30,73.00,92.09,300.00,300.00,189.85,98.16,7.13,7.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.28,1.03,0.00,0.08,0.00,0.00
,nbody.py 500,0.0693864,1716.8,1688134606.600441,0.00,0.00,767.50,23.09,3292.60,1892.90,1.14,420.80,0.00,2.40,342.20,167.60,92.20,210.60,0.00,116.20,0.00,4.40,0.01,3.19,3.20,4.44,19.61,0.00,44.29,0.00,2.10,24.49,11.05,20.44,20.93,69.80,71.40,89.98,300.00,300.00,151.06,97.83,9.08,8.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.12,0.86,0.01,0.07,0.00,0.00
,nbody.py 500,0.0614383,1358.7,1688134607.649038,0.00,0.00,678.60,19.48,3505.00,1895.00,1.17,241.60,0.00,2.10,464.50,194.50,90.70,188.30,0.00,111.20,0.10,3.40,0.01,4.69,3.17,4.78,20.90,0.00,45.55,0.00,1.42,26.87,10.87,21.61,21.17,72.70,74.10,87.61,360.00,300.00,142.39,97.69,11.36,11.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.02,0.79,0.01,0.06,0.00,0.00
,nbody.py 500,0.0621944,1894.3,1688134608.722628,0.00,0.00,685.70,19.75,3495.20,1885.60,1.18,247.60,0.00,3.70,457.20,201.80,79.60,196.40,0.10,113.10,0.00,1.00,0.01,4.24,3.58,4.27,20.56,0.01,46.30,0.00,0.69,27.36,10.33,20.96,21.59,74.70,75.00,85.85,400.00,300.00,142.22,96.74,12.66,12.26,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.03,0.80,0.01,0.06,0.00,0.00
,nbody.py 500,0.0667494,1289.7,1688134610.093799,0.00,0.00,602.10,19.16,3135.30,1902.80,1.21,264.20,0.00,2.80,157.70,219.50,147.60,218.00,0.00,123.60,0.00,4.30,0.01,2.58,5.13,5.89,20.42,0.00,45.57,0.00,1.61,28.10,10.30,20.94,21.50,72.50,72.90,91.33,400.00,310.00,143.27,99.00,8.44,8.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.93,0.69,0.00,0.06,0.00,0.00
,nbody.py 500,0.0614889,1200.8,1688134611.174684,0.00,0.00,644.10,19.12,3354.40,1901.70,1.19,249.90,0.00,1.30,379.90,180.60,80.90,203.70,0.20,112.00,0.00,1.40,0.00,3.45,3.30,5.22,22.44,0.02,45.25,0.00,1.57,25.87,11.62,22.72,20.66,72.40,73.90,91.62,400.00,300.00,141.45,98.37,8.20,8.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.94,0.70,0.00,0.06,0.00,0.00
,nbody.py 500,0.0745981,2473.6,1688134612.391857,0.00,0.00,689.70,21.31,3241.10,1884.70,1.06,302.20,0.00,3.60,716.50,315.10,89.20,171.00,0.00,135.20,0.00,8.00,0.01,6.34,4.23,3.70,16.68,0.00,44.49,0.00,2.86,27.51,9.45,17.50,24.23,73.40,74.80,90.62,370.00,300.00,146.36,96.89,7.40,7.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.04,0.77,0.01,0.07,0.00,0.00
,nbody.py 500,0.0629882,1167.1,1688134613.503086,0.00,0.00,642.50,19.77,3352.30,1904.60,1.27,239.30,0.00,2.50,320.70,198.90,107.00,222.80,0.00,109.30,0.10,1.10,0.01,3.06,3.33,5.18,22.31,0.00,46.00,0.06,0.65,27.22,12.13,22.24,18.64,75.60,77.00,90.69,300.00,300.00,146.72,97.87,9.88,9.66,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.99,0.75,0.01,0.06,0.00,0.00
